name,Sorting,Installed_By,Notes,RHEL9_LD,RHEL8_LD,OpenSUSE_15.6_LD,OpenSUSE_15.5_LD,Legacy-OS_OpenSUSE_15.4_LD,Ubuntu_24.04_LD,Ubuntu_22.04_LD,Legacy-OS_Ubuntu_20.04_LD,Linux_RT,Windows_11,Windows_10,Windows_Server_2025,Windows_Server_2022,Windows_Server_2019_64-bit,Legacy-OS_Windows_Server_2016_64-bit,Linux_Download,Linux_RT_Download,Windows_Download,Legacy-OS_RHEL7_LD,Legacy-OS_CENTOS7_LD,Legacy-OS_OpenSUSE_15.3_LD,Legacy-OS_OpenSUSE_15.2_LD,Legacy-OS_OpenSUSE_15.1_LD,Legacy-OS_Ubuntu_18.04_LD,Legacy-OS_Windows_8,Legacy-OS_Windows_7,Legacy-OS_MacOS 11,Legacy-OS_MacOS 10.15
PXI-2545 (DAQmx),2545,NI-DAQmx,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en/support/documentation/release-notes/product.ni-daq-mx.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2022 Q3,19.1,2025 Q2,2022 Q3,20.7,20 to 2024 Q3,Not Supported,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-daq-mx.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,19.1 to 20.1,19.1 to 20.1,Not Supported,Not Supported
PXI-2545 (SWITCH),2545,NI-SWITCH,"<ul><li>LabVIEW API is not currently supported on Ubuntu OS</li><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.ni-switch.html"" target=""_blank"">Release Notes</a>)</li><li>Table may exclude software versions older than 21.3; support may have been available earlier.</li><li>**Select NI drivers are incompatible with default IOMMU settings on Linux Kernel 6.8 and later, resulting in generic hardware or internal errors while using NI hardware.  Consult the <a href=""https://www.ni.com/r/iommu-linux"" target=""_blank"">NI Platform on Linux Desktop User Manual</a> for more information.</li></ul>",2023 Q1,19.1,2024 Q4,2023 Q4,2023 Q1 to 2023 Q4,2024 Q4**,2023 Q1**,21.3 to 2023 Q4,20.5,2022 Q4,16,2025 Q2,2022 Q4,21.3,21.3 to 2023 Q4,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-switch.html"" target=""_blank"">latest version</a>",18.1 to 21.3,18.1 to 21.3,2023 Q1 to 2023 Q3,21.3 to 21.3,20.1 to 21.3,21.3 to 21.3,Check readmes older than 21.3/2021 SP1,Check readmes older than 21.3/2021 SP1,Not Supported,Not Supported
PXI-2546 (DAQmx),2546,NI-DAQmx,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en/support/documentation/release-notes/product.ni-daq-mx.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2022 Q3,19.1,2025 Q2,2022 Q3,20.7,20 to 2024 Q3,Not Supported,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-daq-mx.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,19.1 to 20.1,19.1 to 20.1,Not Supported,Not Supported
PXI-2546 (SWITCH),2546,NI-SWITCH,"<ul><li>LabVIEW API is not currently supported on Ubuntu OS</li><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.ni-switch.html"" target=""_blank"">Release Notes</a>)</li><li>Table may exclude software versions older than 21.3; support may have been available earlier.</li><li>**Select NI drivers are incompatible with default IOMMU settings on Linux Kernel 6.8 and later, resulting in generic hardware or internal errors while using NI hardware.  Consult the <a href=""https://www.ni.com/r/iommu-linux"" target=""_blank"">NI Platform on Linux Desktop User Manual</a> for more information.</li></ul>",2023 Q1,19.1,2024 Q4,2023 Q4,2023 Q1 to 2023 Q4,2024 Q4**,2023 Q1**,21.3 to 2023 Q4,20.5,2022 Q4,16,2025 Q2,2022 Q4,21.3,21.3 to 2023 Q4,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-switch.html"" target=""_blank"">latest version</a>",18.1 to 21.3,18.1 to 21.3,2023 Q1 to 2023 Q3,21.3 to 21.3,20.1 to 21.3,21.3 to 21.3,Check readmes older than 21.3/2021 SP1,Check readmes older than 21.3/2021 SP1,Not Supported,Not Supported
PXI-2547 (DAQmx),2547,NI-DAQmx,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en/support/documentation/release-notes/product.ni-daq-mx.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2022 Q3,19.1,2025 Q2,2022 Q3,20.7,20 to 2024 Q3,Not Supported,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-daq-mx.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,19.1 to 20.1,19.1 to 20.1,Not Supported,Not Supported
PXI-2547 (SWITCH),2547,NI-SWITCH,"<ul><li>LabVIEW API is not currently supported on Ubuntu OS</li><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.ni-switch.html"" target=""_blank"">Release Notes</a>)</li><li>Table may exclude software versions older than 21.3; support may have been available earlier.</li><li>**Select NI drivers are incompatible with default IOMMU settings on Linux Kernel 6.8 and later, resulting in generic hardware or internal errors while using NI hardware.  Consult the <a href=""https://www.ni.com/r/iommu-linux"" target=""_blank"">NI Platform on Linux Desktop User Manual</a> for more information.</li></ul>",2023 Q1,19.1,2024 Q4,2023 Q4,2023 Q1 to 2023 Q4,2024 Q4**,2023 Q1**,21.3 to 2023 Q4,20.5,2022 Q4,16,2025 Q2,2022 Q4,21.3,21.3 to 2023 Q4,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-switch.html"" target=""_blank"">latest version</a>",18.1 to 21.3,18.1 to 21.3,2023 Q1 to 2023 Q3,21.3 to 21.3,20.1 to 21.3,21.3 to 21.3,Check readmes older than 21.3/2021 SP1,Check readmes older than 21.3/2021 SP1,Not Supported,Not Supported
PXI-2548 (DAQmx),2548,NI-DAQmx,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en/support/documentation/release-notes/product.ni-daq-mx.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2022 Q3,19.1,2025 Q2,2022 Q3,20.7,20 to 2024 Q3,Not Supported,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-daq-mx.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,19.1 to 20.1,19.1 to 20.1,Not Supported,Not Supported
PXI-2548 (SWITCH),2548,NI-SWITCH,"<ul><li>LabVIEW API is not currently supported on Ubuntu OS</li><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.ni-switch.html"" target=""_blank"">Release Notes</a>)</li><li>Table may exclude software versions older than 21.3; support may have been available earlier.</li><li>**Select NI drivers are incompatible with default IOMMU settings on Linux Kernel 6.8 and later, resulting in generic hardware or internal errors while using NI hardware.  Consult the <a href=""https://www.ni.com/r/iommu-linux"" target=""_blank"">NI Platform on Linux Desktop User Manual</a> for more information.</li></ul>",2023 Q1,19.1,2024 Q4,2023 Q4,2023 Q1 to 2023 Q4,2024 Q4**,2023 Q1**,21.3 to 2023 Q4,20.5,2022 Q4,16,2025 Q2,2022 Q4,21.3,21.3 to 2023 Q4,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-switch.html"" target=""_blank"">latest version</a>",18.1 to 21.3,18.1 to 21.3,2023 Q1 to 2023 Q3,21.3 to 21.3,20.1 to 21.3,21.3 to 21.3,Check readmes older than 21.3/2021 SP1,Check readmes older than 21.3/2021 SP1,Not Supported,Not Supported
PXI-2549 (DAQmx),2549,NI-DAQmx,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en/support/documentation/release-notes/product.ni-daq-mx.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2022 Q3,19.1,2025 Q2,2022 Q3,20.7,20 to 2024 Q3,Not Supported,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-daq-mx.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,19.1 to 20.1,19.1 to 20.1,Not Supported,Not Supported
PXI-2549 (SWITCH),2549,NI-SWITCH,"<ul><li>LabVIEW API is not currently supported on Ubuntu OS</li><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.ni-switch.html"" target=""_blank"">Release Notes</a>)</li><li>Table may exclude software versions older than 21.3; support may have been available earlier.</li><li>**Select NI drivers are incompatible with default IOMMU settings on Linux Kernel 6.8 and later, resulting in generic hardware or internal errors while using NI hardware.  Consult the <a href=""https://www.ni.com/r/iommu-linux"" target=""_blank"">NI Platform on Linux Desktop User Manual</a> for more information.</li></ul>",2023 Q1,19.1,2024 Q4,2023 Q4,2023 Q1 to 2023 Q4,2024 Q4**,2023 Q1**,21.3 to 2023 Q4,20.5,2022 Q4,16,2025 Q2,2022 Q4,21.3,21.3 to 2023 Q4,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-switch.html"" target=""_blank"">latest version</a>",18.1 to 21.3,18.1 to 21.3,2023 Q1 to 2023 Q3,21.3 to 21.3,20.1 to 21.3,21.3 to 21.3,Check readmes older than 21.3/2021 SP1,Check readmes older than 21.3/2021 SP1,Not Supported,Not Supported
PXI-2554 (DAQmx),2554,NI-DAQmx,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en/support/documentation/release-notes/product.ni-daq-mx.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2022 Q3,19.1,2025 Q2,2022 Q3,20.7,20 to 2024 Q3,Not Supported,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-daq-mx.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,19.1 to 20.1,19.1 to 20.1,Not Supported,Not Supported
PXI-2554 (SWITCH),2554,NI-SWITCH,"<ul><li>LabVIEW API is not currently supported on Ubuntu OS</li><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.ni-switch.html"" target=""_blank"">Release Notes</a>)</li><li>Table may exclude software versions older than 21.3; support may have been available earlier.</li><li>**Select NI drivers are incompatible with default IOMMU settings on Linux Kernel 6.8 and later, resulting in generic hardware or internal errors while using NI hardware.  Consult the <a href=""https://www.ni.com/r/iommu-linux"" target=""_blank"">NI Platform on Linux Desktop User Manual</a> for more information.</li></ul>",2023 Q1,19.1,2024 Q4,2023 Q4,2023 Q1 to 2023 Q4,2024 Q4**,2023 Q1**,21.3 to 2023 Q4,20.5,2022 Q4,16,2025 Q2,2022 Q4,21.3,21.3 to 2023 Q4,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-switch.html"" target=""_blank"">latest version</a>",18.1 to 21.3,18.1 to 21.3,2023 Q1 to 2023 Q3,21.3 to 21.3,20.1 to 21.3,21.3 to 21.3,Check readmes older than 21.3/2021 SP1,Check readmes older than 21.3/2021 SP1,Not Supported,Not Supported
PXI-2555 (DAQmx),2555,NI-DAQmx,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en/support/documentation/release-notes/product.ni-daq-mx.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2022 Q3,19.1,2025 Q2,2022 Q3,20.7,20 to 2024 Q3,Not Supported,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-daq-mx.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,19.1 to 20.1,19.1 to 20.1,Not Supported,Not Supported
PXI-2555 (SWITCH),2555,NI-SWITCH,"<ul><li>LabVIEW API is not currently supported on Ubuntu OS</li><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.ni-switch.html"" target=""_blank"">Release Notes</a>)</li><li>Table may exclude software versions older than 21.3; support may have been available earlier.</li><li>**Select NI drivers are incompatible with default IOMMU settings on Linux Kernel 6.8 and later, resulting in generic hardware or internal errors while using NI hardware.  Consult the <a href=""https://www.ni.com/r/iommu-linux"" target=""_blank"">NI Platform on Linux Desktop User Manual</a> for more information.</li></ul>",2023 Q1,19.1,2024 Q4,2023 Q4,2023 Q1 to 2023 Q4,2024 Q4**,2023 Q1**,21.3 to 2023 Q4,20.5,2022 Q4,16,2025 Q2,2022 Q4,21.3,21.3 to 2023 Q4,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-switch.html"" target=""_blank"">latest version</a>",18.1 to 21.3,18.1 to 21.3,2023 Q1 to 2023 Q3,21.3 to 21.3,20.1 to 21.3,21.3 to 21.3,Check readmes older than 21.3/2021 SP1,Check readmes older than 21.3/2021 SP1,Not Supported,Not Supported
PXI-2556 (DAQmx),2556,NI-DAQmx,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en/support/documentation/release-notes/product.ni-daq-mx.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2022 Q3,19.1,2025 Q2,2022 Q3,20.7,20 to 2024 Q3,Not Supported,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-daq-mx.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,19.1 to 20.1,19.1 to 20.1,Not Supported,Not Supported
PXI-2556 (SWITCH),2556,NI-SWITCH,"<ul><li>LabVIEW API is not currently supported on Ubuntu OS</li><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.ni-switch.html"" target=""_blank"">Release Notes</a>)</li><li>Table may exclude software versions older than 21.3; support may have been available earlier.</li><li>**Select NI drivers are incompatible with default IOMMU settings on Linux Kernel 6.8 and later, resulting in generic hardware or internal errors while using NI hardware.  Consult the <a href=""https://www.ni.com/r/iommu-linux"" target=""_blank"">NI Platform on Linux Desktop User Manual</a> for more information.</li></ul>",2023 Q1,19.1,2024 Q4,2023 Q4,2023 Q1 to 2023 Q4,2024 Q4**,2023 Q1**,21.3 to 2023 Q4,20.5,2022 Q4,16,2025 Q2,2022 Q4,21.3,21.3 to 2023 Q4,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-switch.html"" target=""_blank"">latest version</a>",18.1 to 21.3,18.1 to 21.3,2023 Q1 to 2023 Q3,21.3 to 21.3,20.1 to 21.3,21.3 to 21.3,Check readmes older than 21.3/2021 SP1,Check readmes older than 21.3/2021 SP1,Not Supported,Not Supported
PXI-2557 (DAQmx),2557,NI-DAQmx,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en/support/documentation/release-notes/product.ni-daq-mx.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2022 Q3,19.1,2025 Q2,2022 Q3,20.7,20 to 2024 Q3,Not Supported,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-daq-mx.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,19.1 to 20.1,19.1 to 20.1,Not Supported,Not Supported
PXI-2557 (SWITCH),2557,NI-SWITCH,"<ul><li>LabVIEW API is not currently supported on Ubuntu OS</li><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.ni-switch.html"" target=""_blank"">Release Notes</a>)</li><li>Table may exclude software versions older than 21.3; support may have been available earlier.</li><li>**Select NI drivers are incompatible with default IOMMU settings on Linux Kernel 6.8 and later, resulting in generic hardware or internal errors while using NI hardware.  Consult the <a href=""https://www.ni.com/r/iommu-linux"" target=""_blank"">NI Platform on Linux Desktop User Manual</a> for more information.</li></ul>",2023 Q1,19.1,2024 Q4,2023 Q4,2023 Q1 to 2023 Q4,2024 Q4**,2023 Q1**,21.3 to 2023 Q4,20.5,2022 Q4,16,2025 Q2,2022 Q4,21.3,21.3 to 2023 Q4,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-switch.html"" target=""_blank"">latest version</a>",18.1 to 21.3,18.1 to 21.3,2023 Q1 to 2023 Q3,21.3 to 21.3,20.1 to 21.3,21.3 to 21.3,Check readmes older than 21.3/2021 SP1,Check readmes older than 21.3/2021 SP1,Not Supported,Not Supported
PXI-2558 (DAQmx),2558,NI-DAQmx,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en/support/documentation/release-notes/product.ni-daq-mx.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2022 Q3,19.1,2025 Q2,2022 Q3,20.7,20 to 2024 Q3,Not Supported,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-daq-mx.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,19.1 to 20.1,19.1 to 20.1,Not Supported,Not Supported
PXI-2558 (SWITCH),2558,NI-SWITCH,"<ul><li>LabVIEW API is not currently supported on Ubuntu OS</li><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.ni-switch.html"" target=""_blank"">Release Notes</a>)</li><li>Table may exclude software versions older than 21.3; support may have been available earlier.</li><li>**Select NI drivers are incompatible with default IOMMU settings on Linux Kernel 6.8 and later, resulting in generic hardware or internal errors while using NI hardware.  Consult the <a href=""https://www.ni.com/r/iommu-linux"" target=""_blank"">NI Platform on Linux Desktop User Manual</a> for more information.</li></ul>",2023 Q1,19.1,2024 Q4,2023 Q4,2023 Q1 to 2023 Q4,2024 Q4**,2023 Q1**,21.3 to 2023 Q4,20.5,2022 Q4,16,2025 Q2,2022 Q4,21.3,21.3 to 2023 Q4,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-switch.html"" target=""_blank"">latest version</a>",18.1 to 21.3,18.1 to 21.3,2023 Q1 to 2023 Q3,21.3 to 21.3,20.1 to 21.3,21.3 to 21.3,Check readmes older than 21.3/2021 SP1,Check readmes older than 21.3/2021 SP1,Not Supported,Not Supported
PXI-2559 (DAQmx),2559,NI-DAQmx,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en/support/documentation/release-notes/product.ni-daq-mx.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2022 Q3,19.1,2025 Q2,2022 Q3,20.7,20 to 2024 Q3,Not Supported,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-daq-mx.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,19.1 to 20.1,19.1 to 20.1,Not Supported,Not Supported
PXI-2559 (SWITCH),2559,NI-SWITCH,"<ul><li>LabVIEW API is not currently supported on Ubuntu OS</li><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.ni-switch.html"" target=""_blank"">Release Notes</a>)</li><li>Table may exclude software versions older than 21.3; support may have been available earlier.</li><li>**Select NI drivers are incompatible with default IOMMU settings on Linux Kernel 6.8 and later, resulting in generic hardware or internal errors while using NI hardware.  Consult the <a href=""https://www.ni.com/r/iommu-linux"" target=""_blank"">NI Platform on Linux Desktop User Manual</a> for more information.</li></ul>",2023 Q1,19.1,2024 Q4,2023 Q4,2023 Q1 to 2023 Q4,2024 Q4**,2023 Q1**,21.3 to 2023 Q4,20.5,2022 Q4,16,2025 Q2,2022 Q4,21.3,21.3 to 2023 Q4,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-switch.html"" target=""_blank"">latest version</a>",18.1 to 21.3,18.1 to 21.3,2023 Q1 to 2023 Q3,21.3 to 21.3,20.1 to 21.3,21.3 to 21.3,Check readmes older than 21.3/2021 SP1,Check readmes older than 21.3/2021 SP1,Not Supported,Not Supported
PXI-2564 (DAQmx),2564,NI-DAQmx,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en/support/documentation/release-notes/product.ni-daq-mx.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2022 Q3,19.1,2025 Q2,2022 Q3,20.7,20 to 2024 Q3,Not Supported,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-daq-mx.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,19.1 to 20.1,19.1 to 20.1,Not Supported,Not Supported
PXI-2564 (SWITCH),2564,NI-SWITCH,"<ul><li>LabVIEW API is not currently supported on Ubuntu OS</li><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.ni-switch.html"" target=""_blank"">Release Notes</a>)</li><li>Table may exclude software versions older than 21.3; support may have been available earlier.</li><li>**Select NI drivers are incompatible with default IOMMU settings on Linux Kernel 6.8 and later, resulting in generic hardware or internal errors while using NI hardware.  Consult the <a href=""https://www.ni.com/r/iommu-linux"" target=""_blank"">NI Platform on Linux Desktop User Manual</a> for more information.</li></ul>",2023 Q1,19.1,2024 Q4,2023 Q4,2023 Q1 to 2023 Q4,2024 Q4**,2023 Q1**,21.3 to 2023 Q4,20.5,2022 Q4,16,2025 Q2,2022 Q4,21.3,21.3 to 2023 Q4,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-switch.html"" target=""_blank"">latest version</a>",18.1 to 21.3,18.1 to 21.3,2023 Q1 to 2023 Q3,21.3 to 21.3,20.1 to 21.3,21.3 to 21.3,Check readmes older than 21.3/2021 SP1,Check readmes older than 21.3/2021 SP1,Not Supported,Not Supported
PXI-2565 (DAQmx),2565,NI-DAQmx,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en/support/documentation/release-notes/product.ni-daq-mx.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2022 Q3,19.1,2025 Q2,2022 Q3,20.7,20 to 2024 Q3,Not Supported,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-daq-mx.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,19.1 to 20.1,19.1 to 20.1,Not Supported,Not Supported
